score,n_trades,net_profit,profit_factor,win_rate_%,max_drawdown_usdt,timeframe,ema_fast,ema_slow,min_atr_pct,k_sl,k_tp1,k_tp2,k_tp3,p1,p2,p3,trail_act_%,trail_dist_%,symbols
-0.0,9,-1704.4265686291433,0.0,0.0,1704.426568629143,5m,50,150,0.08,0.8,0.6,1.2,2.0,0.4,0.3,0.2,0.3,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1704.4265686291433,0.0,0.0,1704.426568629143,5m,50,150,0.08,0.8,0.6,1.2,2.0,0.4,0.3,0.2,0.3,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1704.4265686291433,0.0,0.0,1704.426568629143,5m,50,150,0.08,0.8,0.6,1.2,2.0,0.4,0.3,0.2,0.5,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1704.4265686291433,0.0,0.0,1704.426568629143,5m,50,150,0.08,0.8,0.6,1.2,2.0,0.4,0.3,0.2,0.5,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1704.4265686291433,0.0,0.0,1704.426568629143,5m,50,150,0.08,0.8,0.6,1.2,2.0,0.4,0.3,0.2,0.8,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1704.4265686291433,0.0,0.0,1704.426568629143,5m,50,150,0.08,0.8,0.6,1.2,2.0,0.4,0.3,0.2,0.8,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1706.2488843095987,0.0,0.0,1706.2488843095987,5m,50,150,0.08,0.8,0.6,1.2,2.0,0.4,0.3,0.3,0.3,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1706.2488843095987,0.0,0.0,1706.2488843095987,5m,50,150,0.08,0.8,0.6,1.2,2.0,0.4,0.3,0.3,0.3,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1706.2488843095987,0.0,0.0,1706.2488843095987,5m,50,150,0.08,0.8,0.6,1.2,2.0,0.4,0.3,0.3,0.5,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1706.2488843095987,0.0,0.0,1706.2488843095987,5m,50,150,0.08,0.8,0.6,1.2,2.0,0.4,0.3,0.3,0.5,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1706.2488843095987,0.0,0.0,1706.2488843095987,5m,50,150,0.08,0.8,0.6,1.2,2.0,0.4,0.3,0.3,0.8,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1706.2488843095987,0.0,0.0,1706.2488843095987,5m,50,150,0.08,0.8,0.6,1.2,2.0,0.4,0.3,0.3,0.8,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1750.6708884201005,0.0,0.0,1750.6708884201005,5m,50,150,0.08,0.8,0.6,1.2,2.0,0.5,0.3,0.2,0.3,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1750.6708884201005,0.0,0.0,1750.6708884201005,5m,50,150,0.08,0.8,0.6,1.2,2.0,0.5,0.3,0.2,0.3,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1750.6708884201005,0.0,0.0,1750.6708884201005,5m,50,150,0.08,0.8,0.6,1.2,2.0,0.5,0.3,0.2,0.5,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1750.6708884201005,0.0,0.0,1750.6708884201005,5m,50,150,0.08,0.8,0.6,1.2,2.0,0.5,0.3,0.2,0.5,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1750.6708884201005,0.0,0.0,1750.6708884201005,5m,50,150,0.08,0.8,0.6,1.2,2.0,0.5,0.3,0.2,0.8,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
