id,ts,symbol,side,quantity,price,fee,order_id,pnl,mode,extra
13,2025-09-08T18:41:47.377419,BTC/USDT,BUY,0.01,50000.0,0.5,15,,paper,
12,2025-09-07T22:13:27.667412,BTC/USDT,BUY,0.17988022,111185.1,20.00000025,14,,paper,
11,2025-09-07T19:41:44.391164,BTC/USDT,BUY,0.01797042,111293.98,1.99999956,13,,paper,
10,2025-09-07T19:17:27.398255,ETH/USDT,BUY,0.00280346,4280.42,0.01199999,12,,paper,
9,2025-09-07T19:07:48.292652,ETH/USDT,BUY,0.00279978,4286.05,0.012,11,,paper,
8,2025-09-07T19:05:46.781295,ETH/USDT,BUY,0.00280047,4284.99,0.01199999,9,,paper,
7,2025-09-07T19:05:10.559042,ETH/USDT,SELL,0.00280539,4284.99,0.01202107,8,,paper,
6,2025-09-07T18:49:24.827922,ETH/USDT,BUY,0.00280539,4277.48,0.012,6,,paper,
5,2025-09-07T18:41:24.685082,ETH/USDT,SELL,0.00280891,4272.12,0.012,5,,paper,
4,2025-09-07T18:41:16.319041,ETH/USDT,BUY,0.00280822,4273.17,0.012,4,,paper,
3,2025-09-07T17:25:36.627208,BTC/USDT,BUY,0.0002,111029.44,0.0,3,,live,
2,2025-09-07T16:57:30.979003,BTC/USDT,SELL,0.01,52000.0,0.52,2,,paper,
1,2025-09-07T16:57:30.943518,BTC/USDT,BUY,0.02,50025.0,1.0005,1,,paper,
