score,n_trades,net_profit,profit_factor,win_rate_%,max_drawdown_usdt,timeframe,ema_fast,ema_slow,min_atr_pct,k_sl,k_tp1,k_tp2,k_tp3,p1,p2,p3,trail_act_%,trail_dist_%,symbols
-1000000000.0,2,170.89,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.5,0.3,0.2,0.5,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,168.11,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.5,0.3,0.2,0.5,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,162.56,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.5,0.3,0.2,0.5,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,170.89,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.5,0.3,0.2,0.8,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,168.11,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.5,0.3,0.2,0.8,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,162.56,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.5,0.3,0.2,0.8,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,155.74,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.5,0.3,0.2,1.2,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,155.74,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.5,0.3,0.2,1.2,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,155.74,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.5,0.3,0.2,1.2,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,170.89,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.5,0.3,0.2,0.5,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,168.11,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.5,0.3,0.2,0.5,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,162.56,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.5,0.3,0.2,0.5,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,170.89,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.5,0.3,0.2,0.8,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,168.11,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.5,0.3,0.2,0.8,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,162.56,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.5,0.3,0.2,0.8,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,155.74,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.5,0.3,0.2,1.2,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,155.74,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.5,0.3,0.2,1.2,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,155.74,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.5,0.3,0.2,1.2,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,189.62,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.2,0.5,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,184.26,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.2,0.5,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,173.54,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.2,0.5,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,189.62,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.2,0.8,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,184.26,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.2,0.8,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,173.54,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.2,0.8,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,166.9,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.2,1.2,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,165.7,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.2,1.2,0.3,BTC/USDT;ETH/USDT;SOL/USDT
